id,city,country,lat,lng,date_opened,universities,staff,blurb
1,Nairobi,Kenya,-1.2921,36.8219,2003,University of Nairobi (2003); Kenyatta University (2014),Grace Mwangi (Area Director); Peter Kamau (Campus Staff),"A vibrant campus community reaching students across Nairobi's largest universities through weekly Club gatherings and leadership training."
2,Kampala,Uganda,0.3476,32.5825,2011,Makerere University (2011),Daniel Okello (Campus Staff),"Young Life Uganda began with a handful of student leaders and has grown into a network of Campus clubs across Kampala."
3,Accra,Ghana,5.6037,-0.1870,2016,University of Ghana (2016),Abena Owusu (Area Director); Kwame Boateng (Volunteer Leader),"Reaching students in Accra through discipleship groups, camps, and community outreach in partnership with local churches."
4,Cape Town,South Africa,-33.9249,18.4241,1999,University of Cape Town (1999),Lindiwe Dlamini (Area Director),"One of the ministry's longest-running international sites, with alumni now serving as staff across southern Africa."
5,Madrid,Spain,40.4168,-3.7038,2008,Complutense University of Madrid (2008),Elena Torres (Area Director); Marco Ruiz (Campus Staff),"A growing student movement in the heart of Madrid, hosting weekly Club nights and an annual spring camp in the Sierra de Guadarrama."
6,Kraków,Poland,50.0647,19.9450,2014,Jagiellonian University (2014),Aleksandra Nowak (Campus Staff),"Poland's oldest university is home to a small but committed group of student leaders reaching their peers with the gospel."
7,Bucharest,Romania,44.4268,26.1025,2019,University of Bucharest (2019),Mihai Popescu (Volunteer Leader); Ioana Radu (Campus Staff),"One of the newer European sites, launched by a team of local volunteers after years of short-term mission trips to the region."
8,Kyiv,Ukraine,50.4501,30.5234,2006,Taras Shevchenko National University (2006),Olena Kovalenko (Area Director),"Ministry continues in Kyiv through a resilient team of local staff and student leaders committed to reaching their campus."
9,Amman,Jordan,31.9454,35.9284,2012,University of Jordan (2012),Layla Haddad (Area Director); Samir Nasser (Campus Staff),"A quietly growing ministry building relationships with university students across Amman through small groups and hospitality."
10,Tbilisi,Georgia,41.7151,44.8271,2017,Tbilisi State University (2017),Nino Beridze (Campus Staff),"Young Life's newest Caucasus site, focused on discipleship and leadership development among first-generation student believers."
11,Almaty,Kazakhstan,43.2220,76.8512,2015,Al-Farabi Kazakh National University (2015),Aigerim Bekova (Area Director); Yerlan Sultanov (Campus Staff),"Central Asia's flagship site, reaching students from across the region who come to Almaty to study."
12,Bishkek,Kyrgyzstan,42.8746,74.5698,2025,Kyrgyz National University (2025),Aidai Toktosunova (Volunteer Leader),"A young and growing team building trust with students in Bishkek through English clubs and weekend retreats."
15,Chiang Mai,Thailand,18.7883,98.9853,2013,Chiang Mai University (2013),Ploy Saetang (Campus Staff),"Reaching students in northern Thailand through hospitality, English conversation groups, and weekend mountain retreats."
16,Hyderabad,India,17.3850,78.4867,2025,University of Hyderabad (2025),Priya Nair (Area Director); Arjun Mehta (Volunteer Leader),"A recently launched site reaching students from across India who come to Hyderabad's tech and research universities."
17,Bogotá,Colombia,4.7110,-74.0721,2001,National University of Colombia (2001); Pontifical Xavierian University (2009); University of the Andes (2016),Camila Rodríguez (Area Director); Andrés Gómez (Campus Staff),"A well-established ministry with alumni staff now leading sites in three other Colombian cities."
18,Guadalajara,Mexico,20.6597,-103.3496,2009,University of Guadalajara (2009),Sofía Hernández (Area Director),"Weekly Club meetings and an annual beach camp in Nayarit anchor this growing student ministry in western Mexico."
19,São Paulo,Brazil,-23.5505,-46.6333,1994,University of São Paulo (1994),Lucas Silva (Area Director); Beatriz Costa (Campus Staff),"One of the ministry's largest Latin America sites, with more than a dozen active Campus clubs across greater São Paulo."
20,Kingston,Jamaica,17.9712,-76.7936,1998,University of the West Indies (1998); Northern Caribbean University (2010),Marcia Campbell (Area Director); Andre Grant (Campus Staff),"A long-running Caribbean site with a strong network of alumni staff now serving across the region."
21,Dumaguete,Philippines,9.3103,123.3080,2025,Negros Oriental State University (NORSU) (2025),JP Teves (Staff Associate),"The first full-time YLU ministry in the Philippines, based at NORSU, with a regular Club and a growing student leadership pipeline."
22,Bais City,Philippines,9.5924,123.1225,2026,NORSU Bais Campus (2026),Analie Singgit (Mission Staff),"The Philippines' second YLU site, an hour north of Dumaguete, launched by a longtime Young Life volunteer now serving on staff."
23,Phnom Penh,Cambodia,11.5564,104.9282,2024,Royal University of Phnom Penh (2024),Chhunpanha Sorm (Staff Associate),"One of the fastest-growing YLU works in the APAC region, reaching students through daily outreach, clubs, and discipleship near Cambodia's largest university."
24,Ho Chi Minh City,Vietnam,10.8231,106.6297,2025,The Open University Ho Chi Minh City (2025); University Village Network (Thu Duc District) (2025),Tai Thanh (DGL Student); Bang Nguyễn (Staff Associate),"Vietnam's flagship YLU site, spanning two hubs: Tai's outreach across universities in Districts 7, 8, and Nha Be, and Bang's fast-growing work at University Village, a housing hub connected to 10 universities in Thu Duc."
25,Makassar,Indonesia,-5.1477,119.4327,,Hasanuddin University (UNHAS); Jaffray School of Theology; University of Negri Makassar (UNEM),Julianus Buyi (Mission Staff),"Indonesia's second YLU staff hire now leads an established ministry at UNHAS, a leadership pipeline at Jaffray, and a newly launching work at UNEM."
26,Hong Kong,Hong Kong S.A.R.,22.3193,114.1694,,Hong Kong University (HKU),Aaron Roorda (YLU Director & Co-Executive Director),"Multicultural, English-speaking university ministry across Hong Kong, with Campaigners communities and Alpha helping students explore faith for the first time."
27,Tokyo,Japan,35.6762,139.6503,2026,Waseda University (2026); Hosei University (2026); Juichi University (2026),Daisuke Ikegami (Director),"A new phase of YLU ministry in Tokyo, building on nearly twenty years of experience, previously based in Chiba."
28,Kathmandu,Nepal,27.7172,85.3240,2025,Patan Multiple College (2025),Shanti Tamang (Director),"A quickly growing university ministry drawing students from across Kathmandu's Bagdol area through monthly gatherings."
29,Singapore,Singapore,1.3521,103.8198,2022,Institute of Technical Education (ITE) East (2022),Edwin Sng (Director); Sara Koh (Co-Director),"One of YLU's longest-running Asia sites, co-led since it began, focused on reaching students through Singapore's tertiary education system."
30,Dhaka,Bangladesh,23.8103,90.4125,2025,Daffodil International University (2026); Shanto-Mariam University of Creative Technology (2025),Steven Sunny (Metro YLU Director); Kiron Kumar (Staff Associate),"Bangladesh's first YLU ministry launched here in 2025; now home to two campus ministries as the Dhaka Metro work continues to grow."
31,Khulna,Bangladesh,22.8456,89.5403,2026,Northern University of Business & Technology (2026),Francesca Rodela (Staff Associate),"A newly opened ministry at NUBT, following Bangladesh's standard six months of contact work before Club activities began."
32,Gopalganj,Bangladesh,23.0050,89.8266,2026,,Palash Das Joshi (Staff Associate),"A new YLU ministry launched by Joshi after handing off the Mongla site he started in 2025."
33,Madhupur,Bangladesh,24.8825,89.9950,2026,Anondo Mohon College (2026),Hibrun Mrong (Staff Associate),"A newly opened ministry among tribal-area youth in northern Bangladesh, led by a longtime local volunteer leader turned staff."
34,Mongla,Bangladesh,22.4793,89.6083,2025,,,"Bangladesh's first YLU site, launched in 2025 and now led by trained local volunteer leaders."
